RK,Team,Total PointsPTS,date
46,GhanaGHA,1503,6/22/2018
48,CameroonCMR,1494,6/22/2018
48,ParaguayPAR,1494,6/22/2018
50,Trinidad and TobagoTRI,1473,6/22/2018
1,USAUSA,2115,3/23/2018
2,EnglandENG,2042,3/23/2018
3,GermanyGER,2033,3/23/2018
4,CanadaCAN,2029,3/23/2018
5,FranceFRA,2025,3/23/2018
6,AustraliaAUS,2018,3/23/2018
7,NetherlandsNED,1972,3/23/2018
8,BrazilBRA,1968,3/23/2018
9,SwedenSWE,1963,3/23/2018
10,Korea DPRPRK,1955,3/23/2018
11,JapanJPN,1950,3/23/2018
12,SpainESP,1886,3/23/2018
13,DenmarkDEN,1884,3/23/2018
14,NorwayNOR,1871,3/23/2018
15,ItalyITA,1864,3/23/2018
16,Korea RepublicKOR,1860,3/23/2018
17,China PRCHN,1855,3/23/2018
18,SwitzerlandSUI,1849,3/23/2018
19,IcelandISL,1819,3/23/2018
20,New ZealandNZL,1815,3/23/2018
21,AustriaAUT,1800,3/23/2018
22,ScotlandSCO,1793,3/23/2018
23,BelgiumBEL,1788,3/23/2018
24,ColombiaCOL,1754,3/23/2018
25,MexicoMEX,1724,3/23/2018
